Experiment	bias spectroscopy	
Saved Date	23.09.2021 13:58:29	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.09.2021 13:30:10	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-1.5E+0	
Bias Spectroscopy>Sweep End (V)	1.5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	200E-6	
Bias Spectroscopy>Settling time (s)	200E-6	
Bias Spectroscopy>Integration time (s)	500E-6	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	50E-3	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)
-1.50000E+0	-26.4813E-9	-22.6748E-9
-1.48824E+0	-27.7612E-9	-22.9696E-9
-1.47647E+0	-27.4663E-9	-23.6464E-9
-1.46471E+0	-27.2355E-9	-24.2024E-9
-1.45294E+0	-26.3014E-9	-23.1522E-9
-1.44118E+0	-27.2616E-9	-23.3536E-9
-1.42941E+0	-26.8192E-9	-23.4416E-9
-1.41765E+0	-26.8657E-9	-23.0270E-9
-1.40588E+0	-26.5412E-9	-23.5006E-9
-1.39412E+0	-28.4559E-9	-23.7977E-9
-1.38235E+0	-27.4729E-9	-24.3742E-9
-1.37059E+0	-26.8753E-9	-23.1939E-9
-1.35882E+0	-25.9768E-9	-23.5530E-9
-1.34706E+0	-28.1043E-9	-23.6216E-9
-1.33529E+0	-26.4973E-9	-22.7851E-9
-1.32353E+0	-27.3267E-9	-23.5705E-9
-1.31176E+0	-27.5285E-9	-23.5452E-9
-1.30000E+0	-26.7374E-9	-22.9685E-9
-1.28824E+0	-28.2555E-9	-23.1093E-9
-1.27647E+0	-27.6045E-9	-23.3851E-9
-1.26471E+0	-27.2108E-9	-23.6743E-9
-1.25294E+0	-27.6358E-9	-23.1949E-9
-1.24118E+0	-27.7221E-9	-23.0498E-9
-1.22941E+0	-28.3201E-9	-23.1358E-9
-1.21765E+0	-27.8765E-9	-24.8583E-9
-1.20588E+0	-25.9986E-9	-23.0568E-9
-1.19412E+0	-28.8574E-9	-23.2773E-9
-1.18235E+0	-27.7881E-9	-23.0379E-9
-1.17059E+0	-27.2895E-9	-24.0299E-9
-1.15882E+0	-30.8834E-9	-23.9867E-9
-1.14706E+0	-28.7847E-9	-23.2685E-9
-1.13529E+0	-27.6417E-9	-23.4133E-9
-1.12353E+0	-27.4877E-9	-23.2257E-9
-1.11176E+0	-28.7202E-9	-24.7658E-9
-1.10000E+0	-27.6394E-9	-23.9668E-9
-1.08824E+0	-27.8982E-9	-24.3926E-9
-1.07647E+0	-28.6969E-9	-23.1921E-9
-1.06471E+0	-28.3159E-9	-22.8403E-9
-1.05294E+0	-28.0615E-9	-23.9612E-9
-1.04118E+0	-29.1621E-9	-22.5932E-9
-1.02941E+0	-28.4228E-9	-24.4817E-9
-1.01765E+0	-27.6406E-9	-23.1213E-9
-1.00588E+0	-28.7452E-9	-24.0118E-9
-994.118E-3	-28.4276E-9	-24.0117E-9
-982.353E-3	-28.7820E-9	-22.4690E-9
-970.588E-3	-28.0335E-9	-23.0945E-9
-958.824E-3	-28.8643E-9	-24.2047E-9
