Experiment	bias spectroscopy	
-264.706E-3	2.01470E-12	-7.29317E-12
-252.941E-3	5.18090E-12	-17.5166E-12
-241.176E-3	2.16728E-12	-13.4348E-12
-229.412E-3	8.08007E-12	-17.2114E-12
-217.647E-3	2.20543E-12	-7.36946E-12
-205.882E-3	3.38799E-12	-13.9689E-12
-194.118E-3	10.3689E-12	-14.8081E-12
-182.353E-3	-5.57656E-12	-21.8653E-12
-170.588E-3	4.99016E-12	-14.7700E-12
-158.823E-3	3.19725E-12	-10.6501E-12
-147.059E-3	-4.85176E-12	-15.4566E-12
-135.294E-3	5.98198E-12	-8.24685E-12
-123.529E-3	2.16728E-12	-9.08608E-12
-111.765E-3	3.57872E-12	-5.88173E-12
-100.000E-3	7.27898E-12	-10.2686E-12
-88.2353E-3	8.38524E-12	-14.9226E-12
-76.4706E-3	9.68224E-12	-8.93349E-12
-64.7058E-3	11.7422E-12	-5.04250E-12
-52.9412E-3	1.32805E-12	-12.5575E-12
-41.1764E-3	5.18090E-12	-11.3368E-12
-29.4118E-3	9.30077E-12	-6.83541E-12
-17.6470E-3	15.8239E-12	-12.5956E-12
-5.88238E-3	5.40978E-12	-13.2822E-12
5.88238E-3	19.4097E-12	-3.89809E-12
17.6471E-3	4.45610E-12	-5.53841E-12
29.4118E-3	4.95201E-12	-10.8027E-12
41.1766E-3	8.19451E-12	-6.91170E-12
52.9412E-3	8.15636E-12	-5.34767E-12
64.7060E-3	5.63866E-12	-16.8299E-12
76.4706E-3	9.75853E-12	-7.56020E-12
88.2354E-3	14.6032E-12	-5.34767E-12
100.000E-3	7.27898E-12	-14.1978E-12
111.765E-3	5.29534E-12	-7.90352E-12
123.529E-3	15.3280E-12	-2.75368E-12
135.294E-3	1.70952E-12	-7.56020E-12
147.059E-3	13.9547E-12	-11.5656E-12
158.824E-3	8.65227E-12	-3.78365E-12
170.588E-3	11.6659E-12	-19.0043E-12
182.353E-3	3.92204E-12	-6.87355E-12
194.118E-3	5.94383E-12	-7.56020E-12
205.882E-3	-617.447E-15	16.3580E-12
217.647E-3	13.1536E-12	-9.00979E-12
229.412E-3	11.2081E-12	-8.89534E-12
241.176E-3	17.1591E-12	-4.69918E-12
252.941E-3	8.65227E-12	-655.594E-15
264.706E-3	13.8403E-12	1.97655E-12
276.471E-3	12.8866E-12	-6.03432E-12
288.235E-3	7.24083E-12	-15.9907E-12
300.000E-3	11.2844E-12	-4.85176E-12
311.765E-3	10.1782E-12	755.845E-15
323.529E-3	13.0010E-12	-3.82179E-12
335.294E-3	14.8321E-12	5.82939E-12
347.059E-3	18.4560E-12	-8.66646E-12
358.824E-3	18.4179E-12	-3.97438E-12
370.588E-3	10.5596E-12	-731.888E-15
382.353E-3	10.5215E-12	-28.3503E-12
394.118E-3	18.5705E-12	-16.6010E-12
405.882E-3	15.7858E-12	984.727E-15
417.647E-3	16.7013E-12	-8.59017E-12
429.412E-3	16.7776E-12	3.96019E-12
441.177E-3	7.58416E-12	-6.60653E-12
452.941E-3	15.7095E-12	526.963E-15
464.706E-3	18.7231E-12	-5.61470E-12
476.471E-3	8.38524E-12	450.669E-15
488.235E-3	24.9410E-12	1.90025E-12
500.000E-3	7.58416E-12	4.37981E-12
511.765E-3	25.0173E-12	9.33892E-12
523.530E-3	7.69860E-12	6.28716E-12
535.294E-3	19.0664E-12	-2.86812E-12
547.059E-3	18.1127E-12	6.09642E-12
558.824E-3	19.3716E-12	3.76946E-12
570.588E-3	17.8457E-12	13.1155E-12
582.353E-3	21.8893E-12	9.75853E-12
594.118E-3	11.8566E-12	3.65502E-12
605.882E-3	14.5651E-12	10.1400E-12
617.647E-3	12.7340E-12	3.73131E-12
629.412E-3	18.9138E-12	7.12639E-12
641.176E-3	14.1073E-12	-10.7264E-12
652.941E-3	25.8947E-12	-1.38039E-12
664.706E-3	20.7067E-12	3.57872E-12
676.471E-3	25.9710E-12	13.2681E-12
688.235E-3	16.9683E-12	9.37706E-12
700.000E-3	22.0800E-12	7.88933E-12
711.765E-3	21.2789E-12	22.4233E-12
723.529E-3	15.9002E-12	8.34710E-12
735.294E-3	23.2626E-12	20.0201E-12
747.059E-3	18.6849E-12	13.9166E-12
758.824E-3	21.2026E-12	17.9220E-12
770.588E-3	26.9247E-12	20.7067E-12
782.353E-3	11.2463E-12	10.1400E-12
794.118E-3	19.4097E-12	16.6250E-12
805.882E-3	18.6086E-12	22.3089E-12
817.647E-3	21.3934E-12	21.3171E-12
829.412E-3	39.3606E-12	21.5078E-12
841.177E-3	22.0037E-12	25.2081E-12
852.941E-3	19.4860E-12	25.7040E-12
864.706E-3	21.1645E-12	35.0118E-12
876.471E-3	25.3988E-12	32.2653E-12
888.235E-3	29.5950E-12	29.8620E-12
900.000E-3	31.3116E-12	31.9982E-12
911.765E-3	25.8184E-12	37.3770E-12
923.529E-3	20.5160E-12	34.1726E-12
935.294E-3	30.2435E-12	37.6058E-12
947.059E-3	27.1536E-12	42.6412E-12
958.824E-3	34.0963E-12	44.5104E-12
970.588E-3	29.5950E-12	38.7121E-12
982.353E-3	26.6577E-12	50.7666E-12
994.118E-3	30.5486E-12	39.7421E-12
1.00588E+0	39.3987E-12	45.6549E-12
1.01765E+0	29.4424E-12	60.1507E-12
1.02941E+0	39.9710E-12	51.9491E-12
1.04118E+0	30.5486E-12	67.7038E-12
1.05294E+0	35.7366E-12	63.1262E-12
1.06471E+0	40.7339E-12	67.4368E-12
1.07647E+0	27.7258E-12	64.6521E-12
1.08824E+0	33.9437E-12	76.2106E-12
1.10000E+0	42.9083E-12	65.5676E-12
1.11176E+0	30.2053E-12	64.3850E-12
1.12353E+0	41.8402E-12	72.0144E-12
1.13529E+0	44.8919E-12	82.2378E-12
1.14706E+0	40.3906E-12	111.497E-12
1.15882E+0	50.3469E-12	88.5702E-12
1.17059E+0	47.1044E-12	89.6383E-12
1.18235E+0	48.9736E-12	102.685E-12
1.19412E+0	48.4396E-12	115.082E-12
1.20588E+0	39.8947E-12	106.957E-12
1.21765E+0	44.1290E-12	104.783E-12
1.22941E+0	60.3033E-12	153.611E-12
1.24118E+0	50.6521E-12	113.213E-12
1.25294E+0	50.4614E-12	130.036E-12
1.26471E+0	50.6903E-12	128.205E-12
1.27647E+0	59.2733E-12	140.069E-12
1.28824E+0	66.8646E-12	151.208E-12
1.30000E+0	57.9763E-12	117.371E-12
1.31176E+0	73.3496E-12	183.747E-12
1.32353E+0	69.7256E-12	145.447E-12
1.33529E+0	75.2188E-12	129.349E-12
1.34706E+0	66.9027E-12	172.913E-12
1.35882E+0	76.8209E-12	156.396E-12
1.37059E+0	87.1206E-12	193.246E-12
1.38235E+0	101.998E-12	154.145E-12
1.39412E+0	104.478E-12	191.987E-12
1.40588E+0	107.377E-12	138.466E-12
1.41765E+0	106.614E-12	185.807E-12
1.42941E+0	104.287E-12	167.649E-12
1.44118E+0	113.442E-12	208.085E-12
1.45294E+0	107.949E-12	182.679E-12
1.46471E+0	119.813E-12	170.624E-12
1.47647E+0	150.178E-12	196.870E-12
1.48824E+0	148.881E-12	154.755E-12
1.50000E+0	165.551E-12	164.155E-12
