Experiment	bias spectroscopy	
Saved Date	23.09.2021 14:24:30	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	200E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.09.2021 14:23:26	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-1.5E+0	
Bias Spectroscopy>Sweep End (V)	1.5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-6	
Bias Spectroscopy>Settling time (s)	100E-6	
Bias Spectroscopy>Integration time (s)	200E-6	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	200E-3	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	1	
Bias Spectroscopy>Channels	Current (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)
-1.50000E+0	-35.3388E-12	-35.4457E-12
-1.48824E+0	-18.7373E-12	-32.6228E-12
-1.47647E+0	-26.1378E-12	-40.8625E-12
-1.46471E+0	-22.6283E-12	-25.9089E-12
-1.45294E+0	-28.1214E-12	-36.3230E-12
-1.44118E+0	-17.1351E-12	-29.0751E-12
-1.42941E+0	-24.9552E-12	-37.2386E-12
-1.41765E+0	-30.2958E-12	-30.2577E-12
-1.40588E+0	-16.3722E-12	-30.3340E-12
-1.39412E+0	-19.0806E-12	-30.2195E-12
-1.38235E+0	-31.4021E-12	-36.7808E-12
-1.37059E+0	-23.7727E-12	-38.4211E-12
-1.35882E+0	-24.0778E-12	-34.3775E-12
-1.34706E+0	-21.7509E-12	-37.1623E-12
-1.33529E+0	-23.3149E-12	-27.5874E-12
-1.32353E+0	-16.6392E-12	-33.5002E-12
-1.31176E+0	-15.1515E-12	-37.4293E-12
-1.30000E+0	-16.2959E-12	-26.2141E-12
-1.28824E+0	-26.3667E-12	-34.0342E-12
-1.27647E+0	-18.2414E-12	-31.0587E-12
-1.26471E+0	-19.4239E-12	-27.3966E-12
-1.25294E+0	-23.4675E-12	-29.4947E-12
-1.24118E+0	-16.3340E-12	-35.4075E-12
-1.22941E+0	-15.6092E-12	-38.8407E-12
-1.21765E+0	-17.9743E-12	-39.7563E-12
-1.20588E+0	-10.6501E-12	-26.3285E-12
-1.19412E+0	-16.2959E-12	-29.1895E-12
-1.18235E+0	-16.9825E-12	-33.5383E-12
-1.17059E+0	-6.26320E-12	-33.1568E-12
-1.15882E+0	-3.24959E-12	-28.3122E-12
-1.14706E+0	-10.0398E-12	-42.6554E-12
-1.13529E+0	-16.1814E-12	-35.2168E-12
-1.12353E+0	-17.5929E-12	-21.4839E-12
-1.11176E+0	10.1400E-12	-34.9879E-12
-1.10000E+0	-7.36946E-12	-30.3340E-12
-1.08824E+0	-11.1079E-12	-42.0069E-12
-1.07647E+0	-13.3585E-12	-25.8708E-12
-1.06471E+0	-5.00435E-12	-25.9471E-12
-1.05294E+0	-17.5166E-12	-35.2168E-12
-1.04118E+0	-15.6855E-12	-50.2085E-12
-1.02941E+0	-20.7972E-12	-27.8163E-12
-1.01765E+0	-13.2441E-12	-31.9361E-12
-1.00588E+0	-11.1079E-12	-34.1487E-12
-994.118E-3	-10.0779E-12	-21.0261E-12
-982.353E-3	-9.62014E-12	-31.5928E-12
-970.588E-3	-14.3885E-12	-26.7863E-12
-958.824E-3	-13.0915E-12	-27.2059E-12
-947.059E-3	-18.0125E-12	-35.2168E-12
-935.294E-3	-10.2686E-12	-26.5955E-12
-923.529E-3	-12.5575E-12	-31.7454E-12
-911.765E-3	-5.08065E-12	-27.1678E-12
-900.000E-3	-541.153E-15	-30.7536E-12
-888.235E-3	-2.21962E-12	-23.1242E-12
-876.471E-3	-11.3368E-12	-20.5683E-12
-864.706E-3	-11.2986E-12	-19.8054E-12
-852.941E-3	-7.02614E-12	-17.0969E-12
-841.176E-3	-4.88991E-12	-40.9770E-12
-829.412E-3	-4.66103E-12	-28.8462E-12
-817.647E-3	-1.30409E-12	-23.5438E-12
-805.882E-3	-13.8545E-12	-28.6173E-12
-794.118E-3	-12.8245E-12	-29.5710E-12
-782.353E-3	-579.300E-15	-21.5220E-12
-770.588E-3	984.726E-15	-20.7972E-12
-758.824E-3	-9.58199E-12	-28.2359E-12
-747.059E-3	-4.92806E-12	-20.1487E-12
-735.294E-3	-7.94167E-12	-17.7454E-12
-723.529E-3	2.31987E-12	-21.2931E-12
-711.765E-3	4.07463E-12	-14.7700E-12
-700.000E-3	-7.10244E-12	-22.2468E-12
-688.235E-3	-83.3886E-15	-13.3585E-12
-676.471E-3	-9.96346E-12	-27.5492E-12
-664.706E-3	-3.66921E-12	-29.5710E-12
-652.941E-3	-655.594E-15	-19.0806E-12
-641.176E-3	-10.0016E-12	-47.9960E-12
-629.412E-3	259.934E-15	-19.1950E-12
-617.647E-3	-693.741E-15	-30.9062E-12
-605.882E-3	-45.2429E-15	-10.9934E-12
-594.118E-3	-10.0779E-12	-14.6937E-12
-582.353E-3	-2.90627E-12	-22.3231E-12
-570.588E-3	2.31987E-12	-22.1705E-12
-558.824E-3	832.139E-15	-24.2686E-12
-547.059E-3	-5.95803E-12	-29.1133E-12
-535.294E-3	259.934E-15	-23.0097E-12
-523.529E-3	-20.3776E-12	-17.1351E-12
-511.765E-3	-5.69100E-12	-18.3177E-12
-500.000E-3	-8.28499E-12	-38.8789E-12
-488.235E-3	374.375E-15	-14.6937E-12
-476.471E-3	-3.85994E-12	-1.57112E-12
-464.706E-3	946.580E-15	-15.3803E-12
-452.941E-3	-7.67464E-12	-18.0506E-12
-441.176E-3	1.51878E-12	-11.3368E-12
-429.412E-3	-2.79183E-12	-19.1569E-12
-417.647E-3	-5.76729E-12	-21.8272E-12
-405.882E-3	-83.3890E-15	-19.0043E-12
-394.118E-3	-350.418E-15	-21.7509E-12
-382.353E-3	9.64409E-12	-22.5520E-12
-370.588E-3	-6.94985E-12	-17.7454E-12
-358.824E-3	-6.72097E-12	-17.2495E-12
-347.059E-3	-3.51662E-12	-3.21144E-12
-335.294E-3	8.30895E-12	-23.0860E-12
-323.529E-3	-1.91444E-12	-18.4321E-12
-311.765E-3	-1.57112E-12	-14.2359E-12
-300.000E-3	3.80760E-12	-31.3639E-12
-288.235E-3	259.934E-15	-13.3585E-12
-276.471E-3	1.59508E-12	-7.33132E-12
