Experiment	bias spectroscopy	
Saved Date	23.09.2021 14:44:14	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	100E-6	
Integration time (s)	200E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.09.2021 14:24:46	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-2E+0	
Bias Spectroscopy>Sweep End (V)	1.5E+0	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	50E-6	
Bias Spectroscopy>Settling time (s)	30E-6	
Bias Spectroscopy>Integration time (s)	100E-6	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	200E-3	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	10	
Bias Spectroscopy>Channels	Current (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)
-2.00000E+0	-42.9377E-12	-43.7617E-12
-1.98431E+0	-44.2195E-12	-55.5110E-12
-1.96863E+0	-43.5710E-12	-46.8897E-12
-1.95294E+0	-33.9579E-12	-48.1486E-12
-1.93725E+0	-31.1732E-12	-50.1704E-12
-1.92157E+0	-39.1459E-12	-50.9715E-12
-1.90588E+0	-44.1050E-12	-48.4156E-12
-1.89020E+0	-14.5030E-12	-47.4238E-12
-1.87451E+0	-30.9443E-12	-52.1540E-12
-1.85882E+0	-33.8053E-12	-49.2167E-12
-1.84314E+0	-38.9552E-12	-41.2058E-12
-1.82745E+0	-35.5601E-12	-49.5219E-12
-1.81176E+0	-35.4075E-12	-45.2494E-12
-1.79608E+0	-26.2141E-12	-48.2249E-12
-1.78039E+0	-31.4021E-12	-46.2794E-12
-1.76471E+0	-26.8244E-12	-47.2712E-12
-1.74902E+0	-23.5056E-12	-27.2822E-12
-1.73333E+0	-20.9116E-12	-37.2767E-12
-1.71765E+0	9.94927E-12	-39.4892E-12
-1.70196E+0	-27.3585E-12	-40.1377E-12
-1.68627E+0	-27.2822E-12	-48.3393E-12
-1.67059E+0	-17.6692E-12	-44.0287E-12
-1.65490E+0	-24.1160E-12	-42.6173E-12
-1.63922E+0	-43.0750E-12	-42.3503E-12
-1.62353E+0	-34.4920E-12	-35.9797E-12
-1.60784E+0	-17.4403E-12	-52.9551E-12
-1.59216E+0	-20.2631E-12	-43.3802E-12
-1.57647E+0	-25.1841E-12	-50.2085E-12
-1.56078E+0	-11.0697E-12	-47.2331E-12
-1.54510E+0	-21.6364E-12	-38.1541E-12
-1.52941E+0	-20.1869E-12	-36.6282E-12
-1.51373E+0	-22.8953E-12	-40.3666E-12
-1.49804E+0	-15.7999E-12	-38.9170E-12
-1.48235E+0	-16.4484E-12	-41.1677E-12
-1.46667E+0	-21.0642E-12	-40.0996E-12
-1.45098E+0	-18.4702E-12	-34.7590E-12
-1.43529E+0	-16.2577E-12	-36.8189E-12
-1.41961E+0	-16.4484E-12	-37.8871E-12
-1.40392E+0	-11.5275E-12	-37.9252E-12
-1.38824E+0	-20.7972E-12	-35.9416E-12
-1.37255E+0	-19.1569E-12	-37.3911E-12
-1.35686E+0	-23.9253E-12	-28.8462E-12
-1.34118E+0	-13.2822E-12	-41.0533E-12
-1.32549E+0	-15.6474E-12	-44.3339E-12
-1.30980E+0	-15.6092E-12	-38.8789E-12
-1.29412E+0	-18.7754E-12	-37.6200E-12
-1.27843E+0	-4.20326E-12	-32.2413E-12
