Experiment	bias spectroscopy	
-1.26275E+0	-23.6201E-12	-36.4756E-12
-1.24706E+0	-1.72371E-12	-27.7018E-12
-1.23137E+0	-10.2305E-12	-33.0424E-12
-1.21569E+0	-11.7945E-12	-34.8353E-12
-1.20000E+0	-11.7182E-12	-28.5410E-12
-1.18431E+0	-11.8327E-12	-36.2086E-12
-1.16863E+0	-8.05611E-12	-33.7290E-12
-1.15294E+0	-15.2277E-12	-37.5056E-12
-1.13725E+0	-9.54384E-12	-38.1159E-12
-1.12157E+0	-17.4403E-12	-22.9716E-12
-1.10588E+0	-770.035E-15	-35.5219E-12
-1.09020E+0	-17.4403E-12	-37.3911E-12
-1.07451E+0	-9.08608E-12	-31.0587E-12
-1.05882E+0	-25.1460E-12	-30.7536E-12
-1.04314E+0	-3.85994E-12	-34.6827E-12
-1.02745E+0	-4.39400E-12	-32.7372E-12
-1.01176E+0	-4.50844E-12	-36.5138E-12
-996.078E-3	-4.43215E-12	-32.0124E-12
-980.392E-3	-5.27138E-12	-31.2113E-12
-964.706E-3	5.25719E-12	-26.5955E-12
-949.020E-3	-2.79183E-12	-36.8571E-12
-933.333E-3	1.25175E-12	-27.7400E-12
-917.647E-3	-2.98256E-12	-31.0587E-12
-901.961E-3	-6.07247E-12	-31.8980E-12
-886.274E-3	-5.65285E-12	-28.5029E-12
-870.588E-3	-5.61470E-12	-23.6964E-12
-854.902E-3	-13.6637E-12	-29.4947E-12
-839.216E-3	374.374E-15	-31.5547E-12
-823.529E-3	-5.76729E-12	-25.8708E-12
-807.843E-3	-3.78365E-12	-26.0233E-12
-792.157E-3	-11.4130E-12	-24.0016E-12
-776.471E-3	-5.88173E-12	-29.1133E-12
-760.784E-3	-2.90627E-12	-25.9471E-12
-745.098E-3	-3.44032E-12	-20.3394E-12
-729.412E-3	336.228E-15	-23.3149E-12
-713.725E-3	6.24901E-12	-18.9661E-12
-698.039E-3	6.17272E-12	-23.8871E-12
-682.353E-3	1.25176E-12	-23.0479E-12
-666.667E-3	-13.2822E-12	-21.5983E-12
-650.980E-3	-5.91988E-12	-9.27682E-12
-635.294E-3	3.50243E-12	-20.2250E-12
-619.608E-3	1.17546E-12	-25.8326E-12
-603.922E-3	7.66045E-12	-37.0097E-12
-588.235E-3	221.787E-15	-22.2468E-12
-572.549E-3	-5.27138E-12	-16.3340E-12
-556.863E-3	9.33892E-12	-28.8844E-12
-541.176E-3	12.0092E-12	-17.8217E-12
-525.490E-3	7.73674E-12	-18.8899E-12
-509.804E-3	2.20543E-12	-20.1487E-12
-494.117E-3	13.3062E-12	-18.2795E-12
-478.431E-3	-2.71553E-12	-13.5874E-12
-462.745E-3	3.15911E-12	-20.9116E-12
-447.059E-3	6.32531E-12	-28.5792E-12
-431.372E-3	7.66045E-12	-12.2141E-12
-415.686E-3	3.00652E-12	-16.5629E-12
-400.000E-3	11.2463E-12	-23.5056E-12
-384.314E-3	-3.55477E-12	-19.9580E-12
-368.627E-3	2.20543E-12	-14.8463E-12
-352.941E-3	9.91112E-12	-19.2713E-12
-337.255E-3	27.4587E-12	-16.4866E-12
-321.568E-3	-274.124E-15	-24.7263E-12
-305.882E-3	11.3226E-12	-15.5329E-12
-290.196E-3	12.4288E-12	-15.1133E-12
-274.510E-3	11.6659E-12	-24.0397E-12
-258.823E-3	14.6413E-12	-16.7155E-12
-243.137E-3	15.4806E-12	-13.5111E-12
-227.451E-3	5.33348E-12	-11.6801E-12
-211.765E-3	6.93566E-12	-18.9661E-12
-196.078E-3	11.1318E-12	-25.5274E-12
-180.392E-3	3.96019E-12	-16.9062E-12
-164.706E-3	-1.80000E-12	-16.2577E-12
-149.019E-3	7.39342E-12	-13.0534E-12
-133.333E-3	6.66863E-12	-11.6419E-12
-117.647E-3	14.7176E-12	-15.5329E-12
-101.961E-3	7.46971E-12	-2.25777E-12
-86.2744E-3	13.1155E-12	-18.8136E-12
-70.5881E-3	13.3062E-12	-6.07247E-12
-54.9018E-3	13.4969E-12	-7.06429E-12
-39.2156E-3	8.30895E-12	-9.08608E-12
-23.5293E-3	10.9792E-12	-17.6692E-12
-7.84302E-3	16.6250E-12	-18.4702E-12
7.84326E-3	4.45610E-12	-8.51387E-12
23.5295E-3	16.2435E-12	-8.97164E-12
39.2158E-3	8.19451E-12	-11.8327E-12
54.9021E-3	10.6359E-12	-7.82723E-12
70.5884E-3	23.7203E-12	-13.3585E-12
86.2746E-3	11.6277E-12	-6.64467E-12
101.961E-3	11.0937E-12	-7.29317E-12
117.647E-3	16.8920E-12	-7.78908E-12
133.333E-3	10.9792E-12	-6.26320E-12
149.020E-3	14.8321E-12	-1.38039E-12
164.706E-3	27.3443E-12	-11.5275E-12
180.392E-3	15.4424E-12	-11.9471E-12
196.079E-3	20.6304E-12	-22.1323E-12
211.765E-3	15.4424E-12	-10.5738E-12
227.451E-3	17.9220E-12	-16.0670E-12
243.137E-3	21.9656E-12	-15.1515E-12
258.824E-3	19.9819E-12	-3.89809E-12
274.510E-3	10.5978E-12	-10.1160E-12
290.196E-3	26.0092E-12	-5.76729E-12
305.882E-3	18.4560E-12	-6.14876E-12
321.569E-3	15.1373E-12	-1.68556E-12
337.255E-3	-3.82179E-12	7.54601E-12
352.941E-3	10.4452E-12	-1.41853E-12
368.628E-3	15.0228E-12	-18.3939E-12
384.314E-3	18.2272E-12	13.0392E-12
400.000E-3	20.5923E-12	-3.32588E-12
415.686E-3	19.3716E-12	-3.05885E-12
431.373E-3	23.7966E-12	-1.95259E-12
447.059E-3	22.2707E-12	-1.87630E-12
462.745E-3	14.2599E-12	-5.53841E-12
478.431E-3	13.6495E-12	-9.58199E-12
494.118E-3	-12.5193E-12	-2.10518E-12
509.804E-3	13.8021E-12	10.7885E-12
525.490E-3	16.3580E-12	-6.64467E-12
541.177E-3	16.0909E-12	-312.271E-15
556.863E-3	27.4969E-12	-1.26595E-12
572.549E-3	19.9438E-12	13.9929E-12
588.235E-3	37.8729E-12	7.96563E-12
603.922E-3	7.62230E-12	-3.28774E-12
619.608E-3	27.0773E-12	7.73674E-12
635.294E-3	26.3143E-12	5.75310E-12
650.980E-3	22.2707E-12	3.76946E-12
666.667E-3	22.0419E-12	3.34984E-12
682.353E-3	15.4424E-12	9.07189E-12
698.039E-3	15.4806E-12	10.3307E-12
713.726E-3	28.5269E-12	13.1155E-12
729.412E-3	21.7367E-12	6.47789E-12
745.098E-3	25.5132E-12	7.01195E-12
760.784E-3	19.8293E-12	8.61413E-12
776.471E-3	28.3361E-12	9.11004E-12
792.157E-3	26.7721E-12	11.2463E-12
807.843E-3	22.9574E-12	17.3116E-12
823.529E-3	11.5133E-12	2.01470E-12
839.216E-3	23.7966E-12	9.60595E-12
854.902E-3	25.6658E-12	23.1863E-12
870.588E-3	28.5269E-12	23.7203E-12
886.275E-3	25.6658E-12	35.8511E-12
901.961E-3	29.4042E-12	31.5786E-12
917.647E-3	43.5186E-12	42.6031E-12
933.333E-3	28.4887E-12	23.1863E-12
949.020E-3	21.1645E-12	36.1563E-12
964.706E-3	30.2053E-12	61.4859E-12
980.392E-3	36.0037E-12	45.2734E-12
996.078E-3	35.9655E-12	27.4587E-12
1.01177E+0	30.2816E-12	53.2080E-12
1.02745E+0	35.5459E-12	37.9873E-12
1.04314E+0	33.2952E-12	39.6276E-12
1.05882E+0	31.9982E-12	53.1698E-12
1.07451E+0	36.4233E-12	81.5893E-12
1.09020E+0	43.7094E-12	92.8427E-12
1.10588E+0	36.2325E-12	97.2296E-12
1.12157E+0	42.4887E-12	95.2459E-12
1.13726E+0	47.2189E-12	68.4668E-12
1.15294E+0	46.0363E-12	91.3549E-12
1.16863E+0	39.8184E-12	126.221E-12
1.18431E+0	52.5976E-12	258.286E-12
1.20000E+0	45.0445E-12	173.714E-12
1.21569E+0	66.3305E-12	185.845E-12
1.23137E+0	62.0199E-12	172.722E-12
1.24706E+0	54.1616E-12	179.665E-12
1.26275E+0	57.9763E-12	150.292E-12
1.27843E+0	66.8646E-12	173.829E-12
1.29412E+0	54.9627E-12	199.578E-12
1.30980E+0	71.1370E-12	202.286E-12
1.32549E+0	58.7011E-12	189.583E-12
1.34118E+0	72.0907E-12	211.671E-12
1.35686E+0	81.7038E-12	207.780E-12
1.37255E+0	89.4095E-12	237.687E-12
1.38824E+0	97.1533E-12	256.913E-12
1.40392E+0	84.4885E-12	269.273E-12
1.41961E+0	95.2459E-12	243.180E-12
1.43529E+0	83.2678E-12	210.107E-12
1.45098E+0	105.050E-12	284.760E-12
1.46667E+0	141.556E-12	285.332E-12
1.48235E+0	139.458E-12	282.586E-12
1.49804E+0	162.499E-12	237.839E-12
1.51373E+0	153.153E-12	247.071E-12
1.52941E+0	151.971E-12	294.183E-12
1.54510E+0	148.080E-12	291.398E-12
1.56078E+0	166.886E-12	388.329E-12
1.57647E+0	196.755E-12	332.101E-12
1.59216E+0	188.744E-12	444.253E-12
1.60784E+0	249.741E-12	327.714E-12
1.62353E+0	261.758E-12	346.291E-12
1.63922E+0	235.512E-12	339.234E-12
1.65490E+0	239.175E-12	393.784E-12
1.67059E+0	234.482E-12	424.760E-12
1.68627E+0	303.033E-12	457.337E-12
1.70196E+0	352.509E-12	507.806E-12
1.71765E+0	335.801E-12	489.419E-12
1.73333E+0	320.275E-12	504.563E-12
1.74902E+0	410.569E-12	617.898E-12
1.76471E+0	335.496E-12	477.631E-12
1.78039E+0	426.095E-12	555.985E-12
1.79608E+0	436.623E-12	542.062E-12
1.81176E+0	432.160E-12	474.961E-12
1.82745E+0	474.847E-12	675.156E-12
1.84314E+0	449.441E-12	597.070E-12
1.85882E+0	420.296E-12	520.928E-12
1.87451E+0	395.730E-12	515.893E-12
1.89020E+0	507.424E-12	478.547E-12
1.90588E+0	528.939E-12	642.007E-12
1.92157E+0	666.573E-12	501.664E-12
1.93726E+0	559.609E-12	582.841E-12
1.95294E+0	660.012E-12	622.132E-12
1.96863E+0	535.119E-12	558.579E-12
1.98431E+0	725.511E-12	646.699E-12
2.00000E+0	624.039E-12	628.846E-12
