Experiment	bias spectroscopy	
Saved Date	23.09.2021 13:58:21	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	1E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	23.09.2021 13:09:01	
Filter type	None	
Order		
Cutoff frq		
-231.372E-3	-19.2168E-9	-22.8972E-9
-223.529E-3	-20.4963E-9	-23.6202E-9
-215.686E-3	-19.2175E-9	-22.4519E-9
-207.843E-3	-19.1683E-9	-23.3116E-9
-200.000E-3	-21.9312E-9	-23.1264E-9
-192.157E-3	-19.6316E-9	-23.3477E-9
-184.314E-3	-20.4722E-9	-23.0196E-9
-176.471E-3	-21.5742E-9	-22.6162E-9
-168.627E-3	-19.4818E-9	-23.5362E-9
-160.784E-3	-22.3648E-9	-22.3273E-9
-152.941E-3	-20.4862E-9	-23.1191E-9
-145.098E-3	-20.6263E-9	-22.5023E-9
-137.255E-3	-23.5710E-9	-23.3570E-9
-129.412E-3	-20.2600E-9	-22.5538E-9
-121.569E-3	-23.3528E-9	-22.6352E-9
-113.725E-3	-21.9193E-9	-23.3303E-9
-105.882E-3	-21.3996E-9	-22.4059E-9
-98.0392E-3	-23.0317E-9	-22.7740E-9
-90.1960E-3	-20.1231E-9	-22.5961E-9
-82.3529E-3	-24.7550E-9	-23.2329E-9
-74.5097E-3	-22.1845E-9	-22.4226E-9
-66.6666E-3	-25.1255E-9	-22.8652E-9
-58.8235E-3	-22.7371E-9	-23.2910E-9
-50.9803E-3	-26.0885E-9	-22.3287E-9
-43.1372E-3	-24.3515E-9	-22.4820E-9
-35.2941E-3	-26.5717E-9	-22.1087E-9
-27.4509E-3	-25.3928E-9	-23.1160E-9
-19.6078E-3	-27.0580E-9	-22.1137E-9
-11.7646E-3	-25.5146E-9	-22.8548E-9
-3.92151E-3	-28.1772E-9	-22.7728E-9
3.92163E-3	-27.0368E-9	-22.9724E-9
11.7648E-3	-29.0933E-9	-22.8340E-9
19.6079E-3	-27.2692E-9	-22.8940E-9
27.4510E-3	-28.6897E-9	-23.0563E-9
35.2942E-3	-27.8664E-9	-22.4556E-9
43.1373E-3	-30.3957E-9	-22.7675E-9
50.9804E-3	-29.0098E-9	-22.0645E-9
58.8236E-3	-30.6291E-9	-22.7982E-9
66.6667E-3	-30.3924E-9	-22.0483E-9
74.5099E-3	-30.8009E-9	-22.7521E-9
82.3530E-3	-30.9851E-9	-23.0970E-9
90.1961E-3	-31.7927E-9	-23.0158E-9
98.0393E-3	-31.6568E-9	-22.6604E-9
105.882E-3	-31.5196E-9	-22.2274E-9
113.726E-3	-31.6732E-9	-22.8211E-9
121.569E-3	-31.9216E-9	-21.8964E-9
129.412E-3	-32.3927E-9	-22.7698E-9
137.255E-3	-31.9839E-9	-23.0125E-9
145.098E-3	-31.4415E-9	-22.7892E-9
152.941E-3	-32.4311E-9	-22.2356E-9
160.784E-3	-32.1196E-9	-22.6631E-9
168.628E-3	-32.2909E-9	-23.1627E-9
176.471E-3	-32.2298E-9	-22.1108E-9
184.314E-3	-32.6220E-9	-22.3580E-9
192.157E-3	-32.5522E-9	-21.8586E-9
200.000E-3	-32.7973E-9	-22.9454E-9
207.843E-3	-33.3135E-9	-21.9010E-9
215.686E-3	-33.6080E-9	-22.6623E-9
223.529E-3	-32.5709E-9	-22.1150E-9
231.373E-3	-32.3600E-9	-22.9306E-9
239.216E-3	-33.2708E-9	-21.6847E-9
247.059E-3	-32.9957E-9	-22.8781E-9
