Experiment	bias spectroscopy	
Saved Date	15.10.2021 10:30:28	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	50E-6	
Integration time (s)	50E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	15.10.2021 10:24:31	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-500E-3	
Bias Spectroscopy>Sweep End (V)	500E-3	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-6	
Bias Spectroscopy>Settling time (s)	50E-6	
Bias Spectroscopy>Integration time (s)	50E-3	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	50E-3	
287.402E-3	16.4080E-12	21.9984E-12
295.276E-3	25.8188E-12	20.2983E-12
303.150E-3	29.5649E-12	34.4996E-12
311.024E-3	16.3238E-12	17.4256E-12
318.898E-3	35.6200E-12	31.4062E-12
326.772E-3	22.5149E-12	31.2203E-12
334.646E-3	25.3394E-12	20.9029E-12
342.520E-3	35.9437E-12	39.7091E-12
350.394E-3	18.0423E-12	25.2171E-12
358.268E-3	35.9555E-12	29.4179E-12
366.142E-3	29.1548E-12	39.5597E-12
374.016E-3	25.5409E-12	23.4563E-12
381.890E-3	41.9757E-12	41.7334E-12
389.764E-3	24.2621E-12	36.7749E-12
397.638E-3	37.9791E-12	31.0847E-12
405.512E-3	38.3473E-12	47.6474E-12
413.386E-3	27.1549E-12	30.1243E-12
421.260E-3	48.1937E-12	41.8805E-12
429.134E-3	32.5001E-12	46.1525E-12
437.008E-3	40.8144E-12	34.5299E-12
444.882E-3	47.1355E-12	54.0773E-12
452.756E-3	32.8416E-12	41.4131E-12
460.630E-3	52.0610E-12	43.1097E-12
468.504E-3	42.2084E-12	55.4666E-12
476.378E-3	44.3318E-12	38.3272E-12
484.252E-3	57.2644E-12	54.3163E-12
492.126E-3	38.6068E-12	49.4777E-12
500.000E-3	55.1009E-12	42.9967E-12
