Experiment	bias spectroscopy	
Saved Date	15.10.2021 10:40:58	
User		
Date		
X (m)	0E+0	
Y (m)	0E+0	
Z (m)	882E-9	
Z offset (m)	0E+0	
Settling time (s)	50E-6	
Integration time (s)	50E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	15.10.2021 10:26:09	
Filter type	None	
Order		
Cutoff frq		
Bias Spectroscopy>Sweep Start (V)	-500E-3	
Bias Spectroscopy>Sweep End (V)	500E-3	
Bias Spectroscopy>Num Pixel	256	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	100E-6	
Bias Spectroscopy>Settling time (s)	50E-6	
Bias Spectroscopy>Integration time (s)	50E-3	
Bias Spectroscopy>End Settling time (s)	200E-6	
Bias Spectroscopy>Z control time (s)	200E-3	
Bias Spectroscopy>Max Slew rate (V/s)	50E-3	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	10	
Bias Spectroscopy>Channels	Current (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	FALSE	

[DATA]
Bias calc (V)	Current (A)	Current [bwd] (A)
-500.000E-3	-45.0214E-12	-41.7923E-12
-496.078E-3	-38.3737E-12	-41.0154E-12
-492.157E-3	-44.9809E-12	-40.9154E-12
-488.235E-3	-41.7702E-12	-39.4074E-12
-484.314E-3	-42.8014E-12	-40.3063E-12
-480.392E-3	-44.4790E-12	-38.7976E-12
-476.471E-3	-40.6938E-12	-38.9811E-12
-472.549E-3	-45.8497E-12	-38.9112E-12
-468.627E-3	-39.5787E-12	-38.1391E-12
-464.706E-3	-43.9567E-12	-38.6067E-12
-460.784E-3	-41.9272E-12	-37.6721E-12
-456.863E-3	-41.0209E-12	-37.4167E-12
-452.941E-3	-44.1304E-12	-37.5192E-12
-449.020E-3	-39.0595E-12	-37.0198E-12
-445.098E-3	-43.9907E-12	-37.8287E-12
-441.176E-3	-38.9566E-12	-35.8921E-12
-437.255E-3	-42.3132E-12	-36.8338E-12
-433.333E-3	-41.2386E-12	-36.3745E-12
-429.412E-3	-39.3608E-12	-35.0807E-12
-425.490E-3	-42.5606E-12	-35.7861E-12
-421.569E-3	-37.4252E-12	-33.5865E-12
-417.647E-3	-43.1492E-12	-35.6706E-12
-413.725E-3	-38.5596E-12	-33.2881E-12
-409.804E-3	-40.8203E-12	-33.9168E-12
-405.882E-3	-40.9435E-12	-34.1387E-12
-401.961E-3	-37.7013E-12	-31.4119E-12
-398.039E-3	-41.6798E-12	-34.5352E-12
-394.118E-3	-36.4072E-12	-30.6245E-12
-390.196E-3	-41.4371E-12	-33.6255E-12
-386.275E-3	-38.2717E-12	-30.7191E-12
-382.353E-3	-39.2209E-12	-30.2165E-12
-378.431E-3	-40.6065E-12	-31.9091E-12
-374.510E-3	-37.1486E-12	-27.4425E-12
-370.588E-3	-40.6383E-12	-32.2170E-12
-366.667E-3	-35.9418E-12	-27.7226E-12
-362.745E-3	-39.9488E-12	-31.2652E-12
-358.824E-3	-37.3663E-12	-28.3235E-12
-354.902E-3	-37.1304E-12	-26.9190E-12
-350.980E-3	-38.9917E-12	-30.7915E-12
-347.059E-3	-34.9994E-12	-24.4523E-12
-343.137E-3	-38.7742E-12	-30.0010E-12
-339.216E-3	-34.2953E-12	-24.4786E-12
-335.294E-3	-37.1124E-12	-27.4220E-12
-331.373E-3	-36.6596E-12	-26.0193E-12
-327.451E-3	-34.5263E-12	-23.3671E-12
-323.529E-3	-37.3739E-12	-28.4869E-12
-319.608E-3	-34.3250E-12	-21.4656E-12
-315.686E-3	-37.8893E-12	-27.5143E-12
-311.765E-3	-34.1423E-12	-22.0290E-12
-307.843E-3	-35.7689E-12	-24.6889E-12
-303.922E-3	-34.7501E-12	-24.7179E-12
-300.000E-3	-33.4790E-12	-19.8432E-12
-296.078E-3	-35.1640E-12	-26.2248E-12
-292.157E-3	-32.4024E-12	-18.1483E-12
-288.235E-3	-34.8666E-12	-23.8020E-12
-284.314E-3	-32.7111E-12	-20.0160E-12
-280.392E-3	-33.3532E-12	-20.8634E-12
-276.471E-3	-32.3833E-12	-22.8900E-12
-272.549E-3	-31.1835E-12	-16.2999E-12
-268.627E-3	-32.2516E-12	-23.2701E-12
-264.706E-3	-30.2625E-12	-16.2401E-12
-260.784E-3	-32.5468E-12	-20.0885E-12
-256.863E-3	-30.2338E-12	-17.8233E-12
-252.941E-3	-30.6170E-12	-17.0878E-12
-249.020E-3	-29.7960E-12	-19.6566E-12
-245.098E-3	-29.6057E-12	-13.3881E-12
-241.176E-3	-29.9241E-12	-20.2127E-12
-237.255E-3	-27.7801E-12	-14.9876E-12
-233.333E-3	-29.2599E-12	-16.5172E-12
-229.412E-3	-26.9802E-12	-16.4064E-12
-225.490E-3	-28.3465E-12	-13.4757E-12
-221.569E-3	-26.2510E-12	-18.0839E-12
-217.647E-3	-26.9462E-12	-11.3562E-12
-213.725E-3	-26.9264E-12	-16.2781E-12
-209.804E-3	-24.9394E-12	-12.9917E-12
-205.882E-3	-26.7000E-12	-12.9068E-12
-201.961E-3	-23.5641E-12	-14.7316E-12
-198.039E-3	-25.5998E-12	-10.4244E-12
-194.118E-3	-23.0352E-12	-14.4341E-12
-190.196E-3	-23.5701E-12	-9.33866E-12
