Experiment	bias spectroscopy	
-186.274E-3	-23.4059E-12	-12.7553E-12
-182.353E-3	-21.5245E-12	-11.3609E-12
-178.431E-3	-23.3667E-12	-8.84208E-12
-174.510E-3	-19.1195E-12	-12.6867E-12
-170.588E-3	-22.3318E-12	-7.63709E-12
-166.667E-3	-19.3910E-12	-11.5898E-12
-162.745E-3	-20.2152E-12	-7.32484E-12
-158.824E-3	-20.1905E-12	-8.92153E-12
-154.902E-3	-17.3060E-12	-9.33545E-12
-150.980E-3	-20.6809E-12	-5.52738E-12
-147.059E-3	-15.7444E-12	-10.1659E-12
-143.137E-3	-18.6500E-12	-5.12716E-12
-139.216E-3	-15.3602E-12	-7.70212E-12
-135.294E-3	-16.1901E-12	-5.56783E-12
-131.373E-3	-16.5528E-12	-5.18002E-12
-127.451E-3	-12.8135E-12	-7.14181E-12
-123.529E-3	-16.8860E-12	-2.28313E-12
-119.608E-3	-11.4142E-12	-7.03179E-12
-115.686E-3	-14.9563E-12	-2.64745E-12
-111.765E-3	-12.2314E-12	-4.43313E-12
-107.843E-3	-11.3314E-12	-3.47143E-12
-103.922E-3	-13.6920E-12	-1.54685E-12
-100.000E-3	-8.59072E-12	-4.79616E-12
-96.0784E-3	-12.9170E-12	288.217E-15
-92.1568E-3	-8.08566E-12	-4.26719E-12
-88.2353E-3	-10.3354E-12	-489.730E-15
-84.3137E-3	-9.37652E-12	-1.07647E-12
-80.3921E-3	-6.23261E-12	-1.36790E-12
-76.4706E-3	-10.7847E-12	1.72009E-12
-72.5490E-3	-4.29651E-12	-2.18977E-12
-68.6274E-3	-8.40950E-12	3.02174E-12
-64.7058E-3	-4.53037E-12	-998.504E-15
-60.7843E-3	-5.37283E-12	2.36129E-12
-56.8627E-3	-6.17752E-12	2.14449E-12
-52.9411E-3	-1.89162E-12	490.588E-15
-49.0196E-3	-7.07241E-12	4.55646E-12
-45.0980E-3	-811.544E-15	507.492E-15
-41.1764E-3	-3.98045E-12	5.27565E-12
-37.2549E-3	-2.12400E-12	1.62000E-12
-33.3333E-3	-313.640E-15	4.45629E-12
-29.4117E-3	-3.89875E-12	5.24782E-12
-25.4902E-3	2.17024E-12	2.77026E-12
-21.5686E-3	-2.08694E-12	7.15269E-12
-17.6470E-3	1.82529E-12	2.90585E-12
-13.7255E-3	853.842E-15	7.56955E-12
-9.80389E-3	765.453E-15	4.14871E-12
-5.88232E-3	3.96212E-12	6.25848E-12
-1.96075E-3	-101.081E-15	7.67701E-12
1.96081E-3	5.14427E-12	5.00056E-12
5.88238E-3	1.89553E-12	8.69445E-12
9.80395E-3	3.81405E-12	5.13227E-12
13.7255E-3	5.26935E-12	9.39420E-12
17.6471E-3	2.54763E-12	6.72874E-12
21.5687E-3	7.57328E-12	8.03160E-12
25.4902E-3	3.26261E-12	9.43546E-12
29.4118E-3	7.44232E-12	7.59770E-12
33.3334E-3	6.19614E-12	10.6777E-12
37.2549E-3	5.60514E-12	7.68738E-12
41.1765E-3	9.42210E-12	11.5242E-12
45.0981E-3	4.62203E-12	8.69833E-12
49.0196E-3	9.93144E-12	9.97963E-12
52.9412E-3	7.22413E-12	10.8837E-12
56.8628E-3	8.56696E-12	9.89319E-12
60.7843E-3	9.90404E-12	12.0800E-12
64.7059E-3	6.59975E-12	9.40140E-12
68.6275E-3	12.4994E-12	12.7940E-12
72.5490E-3	7.43820E-12	10.7823E-12
76.4706E-3	11.8657E-12	11.7249E-12
80.3922E-3	10.5937E-12	11.8325E-12
84.3138E-3	9.66038E-12	11.9249E-12
88.2353E-3	13.1434E-12	13.0837E-12
92.1569E-3	8.48873E-12	10.8376E-12
96.0785E-3	14.6066E-12	13.6849E-12
100.000E-3	9.83838E-12	12.1598E-12
103.922E-3	12.4989E-12	13.1346E-12
107.843E-3	13.5159E-12	12.4136E-12
111.765E-3	10.5025E-12	13.4514E-12
115.686E-3	15.6889E-12	13.9738E-12
119.608E-3	10.0496E-12	12.5254E-12
123.529E-3	16.0191E-12	14.3306E-12
127.451E-3	12.3423E-12	13.2763E-12
131.373E-3	13.1262E-12	14.8040E-12
135.294E-3	16.1253E-12	13.2021E-12
139.216E-3	11.7174E-12	15.1182E-12
143.137E-3	17.5086E-12	14.8632E-12
147.059E-3	11.8597E-12	14.3243E-12
150.980E-3	17.0993E-12	15.6799E-12
154.902E-3	15.0956E-12	14.6096E-12
158.824E-3	13.9156E-12	16.4901E-12
162.745E-3	18.3399E-12	14.3323E-12
166.667E-3	13.0239E-12	17.0680E-12
170.588E-3	19.3420E-12	15.8209E-12
174.510E-3	14.1365E-12	16.6977E-12
178.431E-3	18.2570E-12	17.2662E-12
182.353E-3	17.6105E-12	16.1759E-12
186.275E-3	15.7806E-12	19.0076E-12
190.196E-3	20.3349E-12	16.4341E-12
194.118E-3	15.4067E-12	19.6709E-12
198.039E-3	21.1126E-12	17.3518E-12
201.961E-3	16.8227E-12	19.2863E-12
205.882E-3	19.8127E-12	19.5937E-12
209.804E-3	20.4168E-12	18.3590E-12
213.726E-3	18.3376E-12	21.7476E-12
217.647E-3	22.8750E-12	18.3173E-12
221.569E-3	18.2723E-12	22.5114E-12
225.490E-3	23.3665E-12	19.5984E-12
229.412E-3	20.2654E-12	21.5109E-12
233.333E-3	22.4152E-12	21.6465E-12
237.255E-3	23.0295E-12	20.9656E-12
241.176E-3	21.3624E-12	24.6192E-12
245.098E-3	24.9631E-12	20.7939E-12
249.020E-3	21.0606E-12	25.4850E-12
252.941E-3	25.7559E-12	21.9278E-12
256.863E-3	22.8861E-12	24.7527E-12
260.784E-3	24.3370E-12	24.2818E-12
264.706E-3	25.2486E-12	23.5347E-12
268.628E-3	23.4947E-12	27.0340E-12
272.549E-3	27.0679E-12	22.7384E-12
276.471E-3	23.6739E-12	28.0261E-12
280.392E-3	27.3714E-12	24.1855E-12
284.314E-3	25.0131E-12	27.1599E-12
288.235E-3	26.2713E-12	26.8086E-12
292.157E-3	27.0463E-12	25.7945E-12
296.079E-3	25.7683E-12	29.3846E-12
300.000E-3	28.9031E-12	25.2386E-12
303.922E-3	25.7874E-12	30.2766E-12
307.843E-3	29.1592E-12	26.6058E-12
311.765E-3	27.1239E-12	29.7394E-12
315.686E-3	28.9378E-12	29.1726E-12
319.608E-3	28.9452E-12	28.3100E-12
323.529E-3	28.2840E-12	32.2064E-12
327.451E-3	30.6638E-12	27.7921E-12
331.373E-3	28.2286E-12	32.6484E-12
335.294E-3	30.8632E-12	29.3059E-12
339.216E-3	29.3422E-12	32.3196E-12
343.137E-3	31.1682E-12	31.7264E-12
347.059E-3	31.0127E-12	30.8888E-12
350.980E-3	30.3036E-12	34.9282E-12
354.902E-3	33.0373E-12	30.4314E-12
358.824E-3	30.5327E-12	35.5752E-12
362.745E-3	33.4446E-12	32.3689E-12
366.667E-3	31.8414E-12	35.7790E-12
370.588E-3	34.0366E-12	35.0506E-12
374.510E-3	33.6551E-12	34.3461E-12
378.431E-3	33.3461E-12	38.1081E-12
382.353E-3	35.5314E-12	34.5906E-12
386.275E-3	33.8821E-12	38.7356E-12
390.196E-3	36.6962E-12	35.9164E-12
394.118E-3	34.7151E-12	39.0777E-12
398.039E-3	36.8793E-12	38.6434E-12
401.961E-3	36.6566E-12	38.2922E-12
405.882E-3	37.0004E-12	41.4771E-12
409.804E-3	38.6948E-12	38.4277E-12
413.726E-3	36.8309E-12	42.7583E-12
417.647E-3	40.5725E-12	40.2766E-12
421.569E-3	37.5155E-12	42.9832E-12
425.490E-3	40.0694E-12	42.7699E-12
429.412E-3	40.0650E-12	42.8599E-12
433.333E-3	41.1050E-12	45.5229E-12
437.255E-3	42.3973E-12	42.6456E-12
441.177E-3	41.2137E-12	46.8699E-12
445.098E-3	44.0688E-12	44.1319E-12
449.020E-3	41.6584E-12	47.0057E-12
452.941E-3	44.7194E-12	46.7401E-12
456.863E-3	43.9758E-12	47.0595E-12
460.784E-3	45.2151E-12	49.3493E-12
464.706E-3	46.7591E-12	46.9728E-12
468.628E-3	45.5759E-12	49.7787E-12
472.549E-3	48.4332E-12	47.9577E-12
476.471E-3	46.4416E-12	51.2945E-12
480.392E-3	49.6148E-12	49.5664E-12
484.314E-3	48.4368E-12	50.3019E-12
488.235E-3	50.7239E-12	51.9690E-12
492.157E-3	51.5686E-12	50.4011E-12
496.078E-3	50.5666E-12	52.6168E-12
500.000E-3	53.6307E-12	50.7736E-12
