Experiment	History Data	
Saved Date		
User		
Sample Period (ms)	20	

[DATA]
Current (A)	Input 2 (V)	Input 3 (V)	Input 4 (V)	Input 5 (V)	Input 6 (V)	Input 7 (V)	Input 8 (V)	Bias (V)	Output 2 (V)	Output 3 (V)	Output 4 (V)	X (m)	Y (m)	Z (m)	Output 8 (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	OC D1 X (m)	OC D1 Y (m)	OC D2 Phase (deg)	OC D2 Amplitude (m)	Reserved  9  (V)	Reserved 10  (V)	OC D2 X (m)	OC D2 Y (m)	LI Demod 1 X (A)	LI Demod 1 Y (A)	LI Demod 2 X (A)	LI Demod 2 Y (A)	Reserved 17  (V)	Reserved 18  (V)	Reserved 19  (V)	Reserved 20  (V)	Reserved 21  (V)	Reserved 22  (V)	Internal 23 (V)	Internal 24 (V)	Z Control signal (Hz)	Z Error signal (Hz)	Z SafeTip signal (m)	Reserved 28  (V)	OC D3 Amplitude (m)	OC D3 Phase (deg)	OC D4 Amplitude (m)	OC D4 Phase (deg)
-1.15145E-13	2.45146E-3	-6.36933E-4	-7.91370E-3	3.32461E-3	3.09497E-3	-1.01536E-2	-7.30348E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-2.53316E+1	1.11340E-11	0.00000E+0	5.76361E-2	-4.06466E-12	-1.74853E-12	-1.92313E+1	1.52412E-11	0.00000E+0	0.00000E+0	3.32371E-13	-4.46448E-12	-1.38804E-14	-3.36665E-15	1.38572E-14	-5.99417E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.11340E-11	0.00000E+0	1.52456E-11	-1.82557E+1	1.52456E-11	-1.76234E+1
-1.03769E-13	2.44510E-3	-6.31317E-4	-7.93265E-3	3.30069E-3	3.09506E-3	-1.01654E-2	-7.29612E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.75522E+1	1.17012E-11	0.00000E+0	5.76361E-2	-9.44502E-13	6.38319E-14	3.09907E+0	1.73443E-11	0.00000E+0	0.00000E+0	-3.49892E-13	-9.61279E-13	-7.92976E-15	-2.25713E-15	1.28950E-14	9.60682E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.17012E-11	0.00000E+0	1.73524E-11	3.19539E+0	1.73524E-11	2.93013E+0
-1.36564E-13	2.46843E-3	-6.55682E-4	-7.91775E-3	3.27702E-3	3.08992E-3	-1.01829E-2	-7.33516E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-1.21045E+1	1.26727E-11	0.00000E+0	5.76361E-2	-3.93968E-12	-7.47285E-13	-2.02256E+1	1.76898E-11	0.00000E+0	0.00000E+0	-5.43191E-13	-3.94504E-12	-1.44434E-14	4.14697E-14	1.01743E-14	1.95997E-14	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.26727E-11	0.00000E+0	1.76846E-11	-2.04783E+1	1.76847E-11	-1.98437E+1
-1.00399E-13	2.46917E-3	-6.55442E-4	-7.92545E-3	3.25865E-3	3.05865E-3	-1.01684E-2	-7.32425E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	4.07357E+1	1.18161E-11	0.00000E+0	5.76361E-2	-1.61461E-12	4.33690E-12	9.93824E-1	1.76739E-11	0.00000E+0	0.00000E+0	-4.95592E-12	-9.76576E-14	-5.54497E-15	1.03292E-14	3.31563E-16	-8.50626E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.18161E-11	0.00000E+0	1.76673E-11	-1.94024E-1	1.76673E-11	4.40885E-1
-1.83846E-13	2.45503E-3	-6.75061E-4	-7.90753E-3	3.26793E-3	3.12067E-3	-1.01653E-2	-7.30346E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	-1.57327E+1	1.08381E-11	0.00000E+0	5.76361E-2	-2.10628E-12	-7.13085E-13	-1.09580E+1	1.53633E-11	0.00000E+0	0.00000E+0	2.23809E-13	-2.29751E-12	-3.23903E-14	9.16997E-15	1.26562E-14	-4.96803E-16	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.08381E-11	0.00000E+0	1.53567E-11	-1.19854E+1	1.53568E-11	-1.22505E+1
-2.07638E-13	2.47079E-3	-6.79741E-4	-7.91514E-3	3.28308E-3	3.09995E-3	-1.01733E-2	-7.29607E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.22316E+1	1.20017E-11	0.00000E+0	5.76361E-2	-7.77701E-13	2.21385E-12	-4.15203E-1	1.73711E-11	0.00000E+0	0.00000E+0	-2.47168E-12	7.37684E-14	-3.99363E-14	6.21798E-15	-6.91350E-15	-7.15221E-15	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.20017E-11	0.00000E+0	1.73676E-11	-1.04591E+0	1.73676E-11	-4.11247E-1
-1.57052E-13	2.46636E-3	-6.59790E-4	-7.90775E-3	3.30452E-3	3.10764E-3	-1.01698E-2	-7.32339E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	1.11195E+1	1.37206E-11	0.00000E+0	5.76361E-2	-1.21189E-14	1.83497E-12	1.26947E+1	1.97662E-11	0.00000E+0	0.00000E+0	-1.75158E-12	5.63254E-13	-1.03224E-14	1.24798E-14	-1.11860E-14	-8.83599E-16	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.37206E-11	0.00000E+0	1.97641E-11	1.35309E+1	1.97642E-11	1.32655E+1
-1.34705E-13	2.49013E-3	-6.55781E-4	-7.92386E-3	3.26558E-3	3.08029E-3	-1.01162E-2	-7.28823E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	9.99082E+0	1.25898E-11	0.00000E+0	5.76361E-2	-2.34238E-12	2.70167E-12	4.56518E+0	1.83121E-11	0.00000E+0	0.00000E+0	-3.34560E-12	-1.31822E-12	-5.76681E-15	6.07579E-15	-1.84194E-14	1.00497E-14	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.25898E-11	0.00000E+0	1.83102E-11	5.72847E+0	1.83102E-11	5.46318E+0
-8.60096E-14	2.51041E-3	-6.30364E-4	-7.89661E-3	3.25623E-3	3.09996E-3	-1.01490E-2	-7.30850E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	2.60872E+1	1.02781E-11	0.00000E+0	5.76361E-2	1.40292E-12	2.85851E-12	8.09641E+0	1.48575E-11	0.00000E+0	0.00000E+0	-2.58881E-12	1.99652E-12	-7.93090E-15	2.12200E-14	-1.42341E-14	1.71436E-14	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.02781E-11	0.00000E+0	1.48651E-11	7.15492E+0	1.48650E-11	6.88933E+0
-1.20150E-13	2.48145E-3	-6.33404E-4	-7.91220E-3	3.26471E-3	3.08458E-3	-1.01442E-2	-7.31000E-3	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	8.82000E-7	0.00000E+0	3.44624E+1	1.35753E-11	0.00000E+0	5.76361E-2	-1.94806E-12	3.60371E-12	-7.13919E+0	1.90588E-11	0.00000E+0	0.00000E+0	-3.95223E-12	-6.84721E-13	2.37874E-15	-1.83392E-14	1.78050E-14	-9.33730E-16	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	-1.00000E+1	1.35753E-11	0.00000E+0	1.90491E-11	-5.80839E+0	1.90491E-11	-6.07374E+0
